SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-18T16:08:41.302Z,2023-08-18T10:19:40.847+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,2,5,1,1,2,5,5,3,4,3,2,4,4,2,1,2,1,5,5,,1,2,23,7,2,,1,0,0,,,No Comment ,He replied well ,,uuid:14ae62c2-d0a7-458a-b031-4ee4d29d7bc7,uuid:14ae62c2-d0a7-458a-b031-4ee4d29d7bc7,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-18T16:08:39.186Z,2023-08-18T09:53:38.217+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,4,5,2,2,3,5,4,5,5,3,4,1,4,4,1,2,1,5,1,,1,2,19,2,2,,0,0,1,,,No Comment ,He replied well ,,uuid:a4061316-a9e5-4870-8610-93b31a337e81,uuid:a4061316-a9e5-4870-8610-93b31a337e81,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:47.279Z,2023-08-17T14:04:14.348+03:00,,17/08/2023,1,OK,1,,2,3,1,0,,,5,5,,1,4,5,1,1,4,5,5,4,4,4,3,4,2,3,1,2,4,2,3,,1,2,23,7,1,,0,0,0,,,No Comment ,He replied well ,,uuid:575a6a80-a587-4058-9890-73c15adfc24c,uuid:575a6a80-a587-4058-9890-73c15adfc24c,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:46.292Z,2023-08-17T13:39:47.215+03:00,,17/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,5,2,2,2,3,4,4,4,1,5,2,4,5,4,4,3,1,4,2,,1,2,27,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:93aba105-1cbe-444a-b226-00c5b6905c5e,uuid:93aba105-1cbe-444a-b226-00c5b6905c5e,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:45.310Z,2023-08-17T13:20:03.644+03:00,,17/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,5,5,4,1,5,5,5,4,5,4,3,2,5,4,1,4,5,2,2,,1,2,30,0,2,,1,0,3,,,No Comment ,He replied well ,,uuid:65e81960-5f4f-482d-b427-6ee92c58af2a,uuid:65e81960-5f4f-482d-b427-6ee92c58af2a,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:44.338Z,2023-08-17T11:47:01.778+03:00,,17/08/2023,1,OK,1,,2,1,1,0,,,1,5,,1,5,5,5,1,2,3,3,2,1,3,4,5,4,5,5,2,1,5,5,,1,2,27,7,2 1,,1,0,4,,,No Comment ,He replied well ,,uuid:e209110a-1c8b-444a-a100-d458a0307999,uuid:e209110a-1c8b-444a-a100-d458a0307999,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:42.959Z,2023-08-17T11:13:00.335+03:00,,17/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,5,4,4,2,2,3,5,3,4,5,3,4,2,1,5,4,4,1,1,,1,2,27,7,2,,1,0,2,,,No Comment ,He replied well ,,uuid:c02e368b-bf9c-4dd6-b9aa-9d28ad6cf531,uuid:c02e368b-bf9c-4dd6-b9aa-9d28ad6cf531,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:41.622Z,2023-08-17T10:41:45.016+03:00,,17/08/2023,1,OK,1,,2,3,1,0,,,1,5,,2,4,2,2,2,3,5,5,3,3,3,3,4,4,3,4,2,4,3,3,,1,2,25,9,2,,0,0,0,,,No Comment ,He replied well ,,uuid:61a6cf02-a11c-436b-bb23-48fedce71240,uuid:61a6cf02-a11c-436b-bb23-48fedce71240,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:40.596Z,2023-08-17T10:26:36.880+03:00,,17/08/2023,1,OK,1,,1,1,1,0,,,1,5,,1,5,1,1,1,3,5,5,2,5,5,2,4,4,1,5,3,4,2,5,,1,2,21,11,2,,0,0,0,,,No Comment ,He replied well ,,uuid:bf52828d-3ee6-475a-9398-5ba5fbc47045,uuid:bf52828d-3ee6-475a-9398-5ba5fbc47045,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
2023-08-17T16:42:39.198Z,2023-08-17T10:04:05.672+03:00,,17/08/2023,1,OK,1,,2,3,1,0,,,1,5,,1,5,4,2,1,2,5,3,3,4,5,2,4,4,5,1,4,1,5,5,,1,2,23,5,2,,1,0,0,,,No Comment ,He replied well ,,uuid:b35f4abf-f044-4a7a-87e8-ef0af438648f,uuid:b35f4abf-f044-4a7a-87e8-ef0af438648f,25,Tablet 1,2,2,,,collect:RoeX2IoCTsgXAyuG,0,205[encrypted:AYmtH7kX]
